news_id,date,headline,event_type,affected_city,sentiment_score,sentiment_label,disruption_signal
NEWS0001,2022-07-03,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.796,Highly Positive,0
NEWS0002,2021-06-11,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.76,Highly Positive,0
NEWS0003,2022-01-14,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.745,Highly Positive,0
NEWS0004,2024-02-08,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.711,Highly Positive,0
NEWS0005,2021-05-27,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.733,Highly Negative,1
NEWS0006,2023-11-01,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.91,Highly Negative,1
NEWS0007,2023-09-05,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.808,Highly Negative,1
NEWS0008,2024-01-26,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.593,Negative,1
NEWS0009,2022-04-06,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.664,Highly Negative,1
NEWS0010,2021-08-04,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.854,Highly Positive,0
NEWS0011,2022-02-15,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.849,Highly Negative,1
NEWS0012,2023-01-01,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-0.938,Highly Negative,1
NEWS0013,2022-11-02,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.953,Highly Negative,1
NEWS0014,2021-05-06,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.92,Highly Negative,1
NEWS0015,2023-06-06,New logistics policy to reduce supply chain inefficiencies,Positive,Pan-India,0.679,Highly Positive,0
NEWS0016,2021-03-26,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.774,Highly Negative,1
NEWS0017,2024-03-19,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.904,Highly Negative,1
NEWS0018,2023-04-08,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.601,Highly Negative,1
NEWS0019,2021-06-08,Power cuts hit Bangalore's tech manufacturing supply chain,Infrastructure,Bangalore,-0.495,Negative,1
NEWS0020,2022-12-12,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.704,Highly Positive,0
NEWS0021,2022-03-23,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.59,Negative,1
NEWS0022,2021-04-14,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.638,Highly Positive,0
NEWS0023,2023-11-30,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-1.0,Highly Negative,1
NEWS0024,2021-07-14,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.718,Highly Positive,0
NEWS0025,2023-10-23,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.772,Highly Positive,0
NEWS0026,2022-02-13,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.989,Highly Negative,1
NEWS0027,2022-01-05,Demonetization causes cash-flow disruption in SME supply chains,Economic,Pan-India,-0.635,Highly Negative,1
NEWS0028,2022-07-23,"Union Budget boosts infrastructure spend, logistics to improve",Positive,Pan-India,0.854,Highly Positive,0
NEWS0029,2021-11-17,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.912,Highly Negative,1
NEWS0030,2021-12-19,Maharashtra floods damage key warehouses in Pune,Flood,Pune,-0.93,Highly Negative,1
NEWS0031,2023-08-04,Normal supply chain operations resume after festival season,Normal,Pan-India,0.567,Positive,0
NEWS0032,2022-10-30,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.51,Negative,1
NEWS0033,2021-07-11,Indian Railways improves freight capacity by 15%,Positive,Pan-India,0.687,Highly Positive,0
NEWS0034,2021-11-22,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.455,Negative,1
NEWS0035,2022-08-05,New highway connects Pune to Mumbai reducing delivery time,Positive,Pune,0.812,Highly Positive,0
NEWS0036,2022-12-28,New logistics policy to reduce supply chain inefficiencies,Positive,Pan-India,0.763,Highly Positive,0
NEWS0037,2021-07-11,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.732,Highly Negative,1
NEWS0038,2021-03-05,Steel plant workers strike halts Tata Steel supply,Strike,Jaipur,-0.855,Highly Negative,1
NEWS0039,2023-12-06,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.895,Highly Negative,1
NEWS0040,2021-05-24,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.707,Highly Positive,0
NEWS0041,2021-07-31,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.456,Negative,1
NEWS0042,2024-01-18,Power cuts hit Bangalore's tech manufacturing supply chain,Infrastructure,Bangalore,-0.633,Highly Negative,1
NEWS0043,2023-10-21,Normal supply chain operations resume after festival season,Normal,Pan-India,0.706,Highly Positive,0
NEWS0044,2023-10-02,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.508,Negative,1
NEWS0045,2021-10-23,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.734,Highly Negative,1
NEWS0046,2022-07-29,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.888,Highly Negative,1
NEWS0047,2023-12-07,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.754,Highly Negative,1
NEWS0048,2022-08-07,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.914,Highly Negative,1
NEWS0049,2023-12-20,Demonetization causes cash-flow disruption in SME supply chains,Economic,Pan-India,-0.776,Highly Negative,1
NEWS0050,2022-09-02,Normal supply chain operations resume after festival season,Normal,Pan-India,0.597,Positive,0
NEWS0051,2023-08-29,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.61,Highly Negative,1
NEWS0052,2021-04-13,Demonetization causes cash-flow disruption in SME supply chains,Economic,Pan-India,-0.793,Highly Negative,1
NEWS0053,2023-03-30,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.975,Highly Negative,1
NEWS0054,2021-06-20,Demonetization causes cash-flow disruption in SME supply chains,Economic,Pan-India,-0.628,Highly Negative,1
NEWS0055,2021-04-07,Flash floods in Hyderabad disrupt warehousing and freight movement,Flood,Hyderabad,-0.928,Highly Negative,1
NEWS0056,2022-07-30,Truck drivers strike disrupts highway logistics across North India,Strike,Delhi,-0.739,Highly Negative,1
NEWS0057,2023-03-11,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.964,Highly Negative,1
NEWS0058,2022-07-29,Farmers protest blocks NH-44 affecting supply from Punjab to Delhi,Road Blockage,Delhi,-0.757,Highly Negative,1
NEWS0059,2023-10-15,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.621,Highly Positive,0
NEWS0060,2021-08-01,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.929,Highly Negative,1
NEWS0061,2021-06-02,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.752,Highly Positive,0
NEWS0062,2021-06-02,Power cuts hit Bangalore's tech manufacturing supply chain,Infrastructure,Bangalore,-0.617,Highly Negative,1
NEWS0063,2022-12-30,Heatwave in Rajasthan affects perishable goods transportation,Weather,Jaipur,-0.678,Highly Negative,1
NEWS0064,2023-11-30,"Heavy monsoon floods hit Mumbai, cargo movement halted",Flood,Mumbai,-0.886,Highly Negative,1
NEWS0065,2022-05-30,Border tensions with Nepal affect trade routes in Bihar,Geopolitical,Kolkata,-0.672,Highly Negative,1
NEWS0066,2024-03-24,Rail freight disruption in Kolkata due to cyclone Amphan aftermath,Cyclone,Kolkata,-0.912,Highly Negative,1
NEWS0067,2021-11-15,Dense fog disrupts air and road freight in North India winters,Weather,Delhi,-0.436,Negative,1
NEWS0068,2022-02-13,Heatwave in Rajasthan affects perishable goods transportation,Weather,Jaipur,-0.575,Negative,1
NEWS0069,2021-08-03,Petrol prices hike increases logistics cost by 12% across India,Economic,Pan-India,-0.578,Negative,1
NEWS0070,2023-04-20,COVID lockdown disrupts manufacturing supply chains in Chennai,Pandemic,Chennai,-1.0,Highly Negative,1
NEWS0071,2022-11-17,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.634,Highly Positive,0
NEWS0072,2022-08-30,"Fuel tanker drivers go on strike, fuel shortage looms",Strike,Pan-India,-0.879,Highly Negative,1
NEWS0073,2021-09-22,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.563,Negative,1
NEWS0074,2023-05-07,GST implementation causes temporary supply chain delays,Policy,Pan-India,-0.514,Negative,1
NEWS0075,2023-05-04,Cyclone Tauktae disrupts Gujarat port and road connectivity,Cyclone,Ahmedabad,-0.792,Highly Negative,1
NEWS0076,2022-11-01,"Coal shortage hits power plants, industrial supply chains affected",Shortage,Pan-India,-0.606,Highly Negative,1
NEWS0077,2021-12-01,E-commerce surge boosts last-mile delivery efficiency,Positive,Pan-India,0.748,Highly Positive,0
NEWS0078,2022-02-23,Steel plant workers strike halts Tata Steel supply,Strike,Jaipur,-0.701,Highly Negative,1
NEWS0079,2022-03-01,Truck overloading ban causes shortage of vehicles on highways,Policy,Pan-India,-0.583,Negative,1
